date,RV,TPV,MedRV,JV,JV_med
2023-01-02,0.700809,0.378218,0.429621,0.322591,0.271188
2023-01-03,0.498657,0.396949,0.422106,0.101708,0.076551
2023-01-04,1.158849,0.983621,0.951018,0.175227,0.207831
2023-01-05,0.299739,0.241063,0.249091,0.058676,0.050648
2023-01-06,0.867953,0.751040,0.664765,0.116913,0.203188
2023-01-07,0.061158,0.040217,0.043955,0.020941,0.017203
2023-01-08,0.363179,0.319526,0.278875,0.043652,0.084304
2023-01-09,1.146525,1.083827,1.064125,0.062698,0.082399
2023-01-10,0.868944,0.796270,0.799834,0.072674,0.069109
2023-01-11,3.113286,2.914664,2.646801,0.198622,0.466485
2023-01-12,13.029461,12.005980,13.029461,1.023481,0.000000
2023-01-13,8.009532,7.619786,6.820621,0.389746,1.188911
2023-01-14,24.273846,19.668227,21.482202,4.605619,2.791644
2023-01-15,5.125167,5.125167,4.856261,0.000000,0.268906
2023-01-16,9.213924,7.493594,9.213924,1.720330,0.000000
2023-01-17,8.360560,7.803124,8.360560,0.557436,0.000000
2023-01-18,11.141479,10.707569,10.671905,0.433910,0.469574
2023-01-19,2.479311,2.325040,2.305750,0.154271,0.173561
2023-01-20,8.364119,5.974627,5.453643,2.389493,2.910477
2023-01-21,12.537147,10.843122,10.625247,1.694024,1.911899
2023-01-22,5.896628,5.495767,5.689364,0.400861,0.207264
2023-01-23,6.308580,6.308580,6.291151,0.000000,0.017430
2023-01-24,5.071620,4.946927,4.879701,0.124693,0.191919
2023-01-25,10.598638,10.026150,10.055462,0.572487,0.543176
2023-01-26,4.906222,4.803940,4.749549,0.102282,0.156673
2023-01-27,4.843877,3.941339,3.882503,0.902538,0.961373
2023-01-28,0.934618,0.844341,0.845930,0.090277,0.088688
2023-01-29,5.275075,5.275075,5.031813,0.000000,0.243262
2023-01-30,6.803166,6.018102,5.393168,0.785063,1.409998
2023-01-31,3.401281,2.562038,2.827749,0.839243,0.573532
2023-02-01,4.960148,4.960148,4.876792,0.000000,0.083355
2023-02-02,6.291814,5.816822,5.348568,0.474993,0.943247
2023-02-03,4.065660,3.196969,3.083693,0.868691,0.981966
2023-02-04,1.015935,0.832099,0.858771,0.183836,0.157164
2023-02-05,2.499395,2.499395,2.399230,0.000000,0.100165
2023-02-06,2.857361,2.291277,2.203508,0.566083,0.653853
2023-02-07,3.994629,3.994629,3.675512,0.000000,0.319117
2023-02-08,2.277162,2.103201,2.055559,0.173961,0.221604
2023-02-09,6.520200,5.750457,5.456103,0.769743,1.064096
2023-02-10,3.700286,3.002836,3.153360,0.697450,0.546927
2023-02-11,0.851806,0.754654,0.788673,0.097152,0.063133
2023-02-12,1.505720,1.296054,1.258489,0.209666,0.247230
2023-02-13,3.269037,3.175491,3.108702,0.093546,0.160335
2023-02-14,6.158575,4.634113,4.573735,1.524462,1.584840
2023-02-15,7.759531,7.065204,7.175791,0.694328,0.583740
2023-02-16,11.550147,9.352612,9.171626,2.197535,2.378521
2023-02-17,12.320226,12.320226,11.852145,0.000000,0.468081
2023-02-18,2.266233,2.215322,2.145664,0.050910,0.120569
2023-02-19,5.148080,5.020120,5.077404,0.127960,0.070676
2023-02-20,7.025885,6.955085,7.025885,0.070800,0.000000
2023-02-21,6.478242,6.394370,6.348931,0.083872,0.129311
2023-02-22,8.245390,8.156502,7.846380,0.088888,0.399010
2023-02-23,6.817336,6.598588,6.817336,0.218748,0.000000
2023-02-24,6.921872,6.227582,6.431529,0.694290,0.490343
2023-02-25,2.060467,1.879883,1.800544,0.180584,0.259923
2023-02-26,2.578355,2.300755,2.235346,0.277600,0.343008
2023-02-27,4.465555,4.097956,3.985266,0.367598,0.480289
2023-02-28,3.382475,3.045228,2.923390,0.337247,0.459085
2023-03-01,5.269051,4.408599,4.717834,0.860452,0.551217
2023-03-02,2.822875,2.528934,2.635677,0.293941,0.187197
2023-03-03,8.967400,7.410861,6.999294,1.556539,1.968106
2023-03-04,0.881224,0.639400,0.687022,0.241824,0.194202
2023-03-05,2.391934,1.968285,2.134778,0.423649,0.257156
2023-03-06,1.718591,1.151277,1.124895,0.567314,0.593696
2023-03-07,4.033807,2.732410,2.922785,1.301398,1.111023
2023-03-08,3.378362,3.080243,2.881905,0.298119,0.496457
2023-03-09,7.301566,6.355133,6.122252,0.946433,1.179314
2023-03-10,13.161271,11.474957,11.943479,1.686314,1.217792
2023-03-11,8.905310,7.428282,7.315852,1.477027,1.589458
2023-03-12,14.131596,11.745474,11.052174,2.386122,3.079422
2023-03-13,25.573169,21.034062,19.944027,4.539107,5.629142
2023-03-14,37.459845,34.020824,35.874891,3.439021,1.584955
2023-03-15,20.440469,20.440469,19.364735,0.000000,1.075734
2023-03-16,10.459283,9.920679,8.930914,0.538604,1.528369
2023-03-17,20.005367,19.058778,17.861653,0.946589,2.143714
2023-03-18,12.470369,11.844005,11.721518,0.626364,0.748852
2023-03-19,9.420135,9.403520,9.058705,0.016614,0.361429
2023-03-20,14.080500,13.906068,13.473678,0.174431,0.606822
2023-03-21,8.637662,8.408414,8.488948,0.229248,0.148714
2023-03-22,19.330723,17.605121,18.509884,1.725602,0.820839
2023-03-23,12.532291,11.038947,10.330950,1.493344,2.201341
2023-03-24,11.886600,10.031651,9.873262,1.854949,2.013339
2023-03-25,3.219708,2.801481,2.877605,0.418227,0.342103
2023-03-26,3.994875,3.367681,3.253701,0.627194,0.741174
2023-03-27,7.139352,6.775966,7.110220,0.363386,0.029132
2023-03-28,5.734955,5.172569,4.886292,0.562386,0.848663
2023-03-29,6.422617,5.237419,5.530501,1.185199,0.892116
2023-03-30,8.886311,8.000294,8.886311,0.886017,0.000000
2023-03-31,6.009143,4.919875,4.692501,1.089267,1.316641
2023-04-01,2.017162,1.578812,1.501230,0.438349,0.515932
2023-04-02,2.262440,2.107216,2.111254,0.155224,0.151186
2023-04-03,9.009824,7.236721,7.498219,1.773103,1.511605
2023-04-04,4.054084,3.617554,3.669449,0.436530,0.384635
2023-04-05,5.072461,3.919161,3.797944,1.153300,1.274516
2023-04-06,2.747467,2.418207,2.441251,0.329260,0.306216
2023-04-07,1.443612,1.176212,1.319124,0.267400,0.124488
2023-04-08,0.580307,0.358606,0.410114,0.221701,0.170193
2023-04-09,1.766362,1.312373,1.472333,0.453989,0.294029
2023-04-10,4.789462,3.536724,4.110655,1.252738,0.678808
2023-04-11,5.136092,4.059212,4.020231,1.076880,1.115861
2023-04-12,5.076845,3.918752,3.748965,1.158093,1.327880
2023-04-13,2.211587,2.097108,2.065692,0.114478,0.145895
2023-04-14,4.560164,3.990783,4.190269,0.569380,0.369895
2023-04-15,0.897322,0.681731,0.744523,0.215591,0.152799
2023-04-16,1.192402,0.867508,0.868250,0.324894,0.324152
2023-04-17,3.974933,2.321715,2.351817,1.653218,1.623116
2023-04-18,2.886302,2.736438,2.676128,0.149864,0.210174
2023-04-19,8.107404,6.131179,7.529579,1.976225,0.577825
2023-04-20,5.621501,5.310324,5.000619,0.311177,0.620882
2023-04-21,5.487247,4.738393,4.700935,0.748854,0.786312
2023-04-22,1.912222,1.681333,1.601648,0.230889,0.310575
2023-04-23,2.789065,2.440483,2.471872,0.348582,0.317193
2023-04-24,4.912932,4.527534,4.881267,0.385398,0.031666
2023-04-25,3.686015,3.447168,3.555533,0.238847,0.130482
2023-04-26,20.381786,16.888231,20.381786,3.493555,0.000000
2023-04-27,15.101203,12.653360,12.690661,2.447844,2.410543
2023-04-28,4.363168,3.708898,3.611211,0.654270,0.751957
2023-04-29,1.345413,0.950575,0.923823,0.394838,0.421590
2023-04-30,3.957516,3.148657,3.104350,0.808859,0.853166
2023-05-01,7.238373,5.756887,6.700559,1.481486,0.537814
2023-05-02,4.710042,4.426341,4.565293,0.283701,0.144748
2023-05-03,6.823017,6.741144,6.392920,0.081874,0.430097
2023-05-04,3.771461,3.176898,3.408093,0.594562,0.363368
2023-05-05,5.116536,4.158124,4.177139,0.958412,0.939397
2023-05-06,3.948805,3.319351,3.293468,0.629454,0.655337
