date,open,high,low,close
2021-03-24,84.8000,95.9400,80.5200,95.0400
2021-03-25,95.0300,97.4300,87.2500,89.7400
2021-03-26,89.7400,89.7400,80.2200,84.5200
2021-03-27,84.5200,84.6000,77.8100,79.6900
2021-03-28,79.6900,81.2800,78.2000,79.0700
2021-03-29,79.0700,83.7400,78.8800,83.7100
2021-03-30,83.7100,86.3600,82.0000,85.0800
2021-03-31,85.0800,86.8200,83.7400,86.4500
2021-04-01,86.4500,86.6300,81.2000,82.3800
2021-04-02,82.3800,83.7700,78.5900,81.2800
2021-04-03,81.2800,82.2300,80.5500,81.2900
2021-04-04,81.2800,82.4200,79.7000,82.4200
2021-04-05,82.4200,82.6000,78.7300,80.2200
2021-04-06,80.2200,81.3000,79.6700,81.0100
2021-04-07,81.0100,81.1400,78.3600,78.7800
2021-04-08,78.7800,79.0000,72.7900,74.3100
2021-04-09,74.3200,77.5400,72.1900,77.0700
2021-04-10,77.0700,83.3000,76.9300,81.5400
2021-04-11,81.5400,83.0800,79.3800,82.6100
2021-04-12,82.6100,84.8100,78.9800,84.5000
2021-04-13,84.5000,89.1400,84.4600,88.6400
2021-04-14,88.6400,88.6700,83.4100,83.8500
2021-04-15,83.8500,84.2500,76.1200,77.0800
2021-04-16,77.0800,79.2600,74.9800,77.6700
2021-04-17,77.6700,77.6700,72.8900,74.4300
2021-04-18,74.4300,92.4500,74.2700,88.4000
2021-04-19,88.4000,89.2500,82.2900,83.2000
2021-04-20,83.2000,84.9700,80.7900,82.9600
2021-04-21,82.9600,83.5500,80.1100,83.0000
2021-04-22,83.0000,95.9300,76.6900,87.3900
2021-04-23,87.3900,96.2800,87.3900,89.3100
2021-04-24,89.3100,94.2800,85.9500,94.0800
2021-04-25,94.0800,95.7800,91.1500,93.4600
2021-04-26,93.4600,93.5700,80.3000,82.6600
2021-04-27,82.6600,82.6600,74.2100,77.5300
2021-04-28,77.5300,79.2000,75.5200,76.9600
2021-04-29,76.9600,80.6200,75.8000,80.2000
2021-04-30,80.2000,80.6500,73.9500,75.0900
2021-05-01,75.0900,76.3200,73.6400,76.1500
2021-05-02,76.1500,80.6300,74.9300,79.0900
2021-05-03,79.0900,82.3000,75.1800,81.7900
2021-05-04,81.7900,88.1800,81.7900,87.9600
2021-05-05,87.9600,88.2000,83.5100,84.3900
2021-05-06,84.3900,85.3600,80.3100,82.1400
2021-05-07,82.1400,83.0500,78.3000,80.5600
2021-05-08,80.5600,86.0400,79.2300,83.5700
2021-05-09,83.5700,86.0800,83.5700,86.0500
2021-05-10,86.0500,91.5700,85.6700,90.2600
2021-05-11,90.2600,90.5400,84.9100,86.2700
2021-05-12,86.2700,94.1300,82.9100,93.8600
2021-05-13,93.8700,103.8100,89.1900,92.9000
2021-05-14,90.7200,101.1500,90.3700,98.4600
2021-05-15,98.4600,103.8200,97.5700,102.8500
2021-05-16,102.8500,112.0800,97.9700,105.2800
2021-05-17,105.2800,158.7200,104.9400,123.0200
2021-05-18,123.0100,123.0100,112.8300,117.0100
2021-05-19,117.0100,144.6300,115.2800,124.8300
2021-05-20,124.8400,132.0600,112.5600,119.7700
2021-05-21,119.7700,145.0100,112.2000,139.9800
2021-05-22,139.9800,144.7900,135.4400,140.0500
2021-05-23,140.0500,167.8300,138.1100,156.2000
2021-05-24,156.2000,156.2000,121.7700,125.1200
2021-05-25,125.1200,131.6900,124.4300,129.1100
2021-05-26,122.0300,124.4000,116.6900,117.0200
2021-05-27,117.0200,119.9100,106.5900,107.2600
2021-05-28,107.2600,123.3300,107.2500,122.5500
2021-05-29,122.5500,129.8200,119.4300,129.3000
2021-05-30,125.5300,130.8100,123.0700,123.6100
2021-05-31,123.6100,124.1900,106.4000,106.4700
2021-06-01,106.4700,108.6500,105.3600,108.2300
2021-06-02,108.2300,108.6300,101.8900,103.1700
2021-06-03,103.1700,103.1900,97.2800,99.1900
2021-06-04,99.1900,107.6100,99.0700,102.9100
2021-06-05,102.9100,108.7300,102.6700,108.5200
2021-06-06,108.5200,108.9600,104.8600,105.9300
2021-06-07,105.9300,108.4000,99.8900,108.3200
2021-06-08,108.3200,117.0700,107.3700,111.0400
2021-06-09,111.0400,111.9000,105.0800,105.8200
2021-06-10,105.8200,105.9000,98.9500,99.4600
2021-06-11,99.4600,99.7200,95.9600,97.2200
2021-06-12,97.2200,99.4900,97.1900,99.3900
2021-06-13,99.3900,103.9700,97.2500,102.8600
2021-06-14,102.8600,103.0400,96.7300,98.8800
2021-06-15,98.8800,99.3100,95.8300,96.7700
2021-06-16,96.7700,97.1600,92.9700,95.2500
2021-06-17,95.2500,95.6600,92.0800,95.2800
2021-06-18,95.2800,99.8600,94.1000,94.7300
2021-06-19,94.7200,94.7200,89.8800,91.8900
2021-06-20,91.8900,100.7100,90.3500,95.6300
2021-06-21,95.6300,106.3000,94.1000,106.2300
2021-06-22,106.2300,117.7600,105.1100,107.0100
2021-06-23,107.0100,107.5900,99.0100,102.2100
2021-06-24,102.2100,103.0100,99.2100,100.9900
2021-06-25,97.5800,105.3700,97.1100,105.3000
2021-06-26,105.3000,110.2500,104.1500,106.7000
2021-06-27,106.7000,106.8700,103.3800,106.4100
2021-06-28,106.4100,107.2300,103.8500,104.3000
2021-06-29,104.3000,105.0300,98.0600,98.8600
2021-06-30,98.8600,106.3600,98.7900,104.5100
2021-07-01,103.8000,105.9400,101.9600,102.3800
2021-07-02,102.3800,103.3400,98.7200,99.2300
2021-07-03,99.2300,101.3900,96.5000,98.0200
2021-07-04,98.0200,98.1200,95.7700,95.8900
2021-07-05,95.8900,99.5900,94.8400,96.3900
2021-07-06,96.3900,96.5700,94.4500,95.7400
2021-07-07,95.7400,95.8200,93.7700,94.9300
2021-07-08,95.1900,95.8400,93.2200,94.4300
2021-07-09,94.4300,95.1100,90.6400,90.8900
2021-07-10,90.8900,91.6200,89.2300,90.5700
2021-07-11,90.5700,90.7500,88.4200,88.7100
2021-07-12,88.7100,91.1800,88.1900,90.5100
2021-07-13,90.5100,91.3700,89.3400,90.8100
