date,Q,P,P_har,Vc,Vj,RV,VRP,VRP_har,jump_share,oos
2023-01-24,10.305120,6.129477,5.856541,4.716174,1.279989,5.071620,4.175643,4.448580,0.213468,False
2023-01-25,10.358959,6.253926,5.886813,5.241553,1.280729,10.598638,4.105033,4.472146,0.196362,False
2023-01-26,8.901370,6.171059,6.191466,5.049418,0.992238,4.906222,2.730311,2.709903,0.164233,False
2023-01-27,8.287671,6.144943,5.931600,4.717546,1.396810,4.843877,2.142729,2.356071,0.228448,False
2023-01-28,8.134685,5.951654,5.955427,4.106862,1.020719,0.934618,2.183031,2.179258,0.199064,False
2023-01-29,9.511141,5.934727,5.753305,4.112768,0.879324,5.275075,3.576414,3.757836,0.176143,False
2023-01-30,8.714959,6.023793,5.948485,4.064263,1.655106,6.803166,2.691166,2.766474,0.289386,False
2023-01-31,9.478883,5.925756,6.006815,3.702290,1.559734,3.401281,3.553128,3.472068,0.296413,False
2023-02-01,9.229155,5.871230,5.891654,3.708303,1.128054,4.960148,3.357925,3.337501,0.233245,False
2023-02-02,9.124504,5.921365,5.981712,3.729559,1.476057,6.291814,3.203139,3.142793,0.283551,False
2023-02-03,8.063185,5.882748,6.124721,3.420349,1.742790,4.065660,2.180437,1.938464,0.337545,False
2023-02-04,8.036454,5.721639,5.955167,2.977587,1.308319,1.015935,2.314815,2.081286,0.305261,False
2023-02-05,8.357131,5.630234,5.715017,2.777304,0.968837,2.499395,2.726897,2.642115,0.258623,False
2023-02-06,8.155599,5.600985,5.563093,2.554045,1.150882,2.857361,2.554614,2.592506,0.310636,False
2023-02-07,7.786181,5.587623,5.527856,2.566535,1.024980,3.994629,2.198558,2.258325,0.285389,False
2023-02-08,7.692987,5.524832,5.490656,2.388281,0.866041,2.277162,2.168154,2.202331,0.266120,False
2023-02-09,7.393979,5.643891,5.355920,2.605812,1.387391,6.520200,1.750088,2.038060,0.347438,False
2023-02-10,6.495113,5.615143,5.531235,2.501039,1.356919,3.700286,0.879970,0.963878,0.351719,False
2023-02-11,6.085581,5.488929,5.462167,2.177281,0.974355,0.851806,0.596652,0.623414,0.309158,False
2023-02-12,6.181507,5.418677,5.273809,1.948233,0.850611,1.505720,0.762830,0.907698,0.303915,False
2023-02-13,7.028555,5.413373,5.166930,2.007700,0.701087,3.269037,1.615182,1.861624,0.258820,False
2023-02-14,6.623805,5.565816,5.216644,2.124461,1.664054,6.158575,1.057989,1.407162,0.439237,False
2023-02-15,7.600353,5.660638,5.308419,2.574666,1.573481,7.759531,1.939715,2.291934,0.379321,False
2023-02-16,9.472438,5.941245,5.439262,3.059243,2.853591,11.550147,3.531194,4.033177,0.482610,False
2023-02-17,10.117789,6.068414,5.715981,3.899774,2.299782,12.320226,4.049375,4.401808,0.370959,False
2023-02-18,9.334402,5.881038,5.948455,3.457621,1.661535,2.266233,3.453364,3.385947,0.324572,False
2023-02-19,9.843298,5.832908,5.572429,3.513498,1.188131,5.148080,4.010390,4.270869,0.252706,False
2023-02-20,10.111130,5.866879,5.693590,3.863085,0.811821,7.025885,4.244251,4.417540,0.173655,False
2023-02-21,10.134445,5.902293,5.762859,4.100555,0.651385,6.478242,4.232152,4.371586,0.137078,False
2023-02-22,8.848353,6.006215,5.675072,4.489214,0.743424,8.245390,2.842139,3.173281,0.142074,False
2023-02-23,8.266589,6.031466,5.723887,4.724832,0.507963,6.817336,2.235122,2.542702,0.097073,False
2023-02-24,6.984219,6.088558,5.751365,4.853373,0.713718,6.921872,0.895661,1.232855,0.128203,False
2023-02-25,6.928998,5.970015,5.783636,4.369899,0.682016,2.060467,0.958983,1.145362,0.135001,False
2023-02-26,7.221358,5.887721,5.536518,4.000058,0.722479,2.578355,1.333637,1.684840,0.152985,False
2023-02-27,6.970393,5.878026,5.516646,3.887752,0.852774,4.465555,1.092367,1.453747,0.179890,False
2023-02-28,6.951060,5.829591,5.548231,3.643053,0.925947,3.382475,1.121469,1.402829,0.202659,False
2023-03-01,8.200504,5.845917,5.471182,3.646930,1.044833,5.269051,2.354587,2.729323,0.222695,False
2023-03-02,7.906407,5.764021,5.524549,3.405489,0.853879,2.822875,2.142385,2.381858,0.200471,False
2023-03-03,7.465315,5.966847,5.456489,3.604683,2.055029,8.967400,1.498468,2.008826,0.363098,False
2023-03-04,7.286205,5.790862,5.769549,3.138059,1.549359,0.881224,1.495343,1.516657,0.330536,False
2023-03-05,7.081385,5.683114,5.424229,2.846254,1.250919,2.391934,1.398271,1.657156,0.305313,False
2023-03-06,7.345667,5.602091,5.475866,2.477808,1.298641,1.718591,1.743576,1.869801,0.343879,False
2023-03-07,7.255155,5.617444,5.408444,2.313007,1.718064,4.033807,1.637711,1.846711,0.426205,False
2023-03-08,6.882231,5.565118,5.509363,2.186636,1.545122,3.378362,1.317113,1.372868,0.414047,False
2023-03-09,8.104855,5.677199,5.389693,2.445285,1.937541,7.301566,2.427656,2.715162,0.442076,False
2023-03-10,8.048329,5.938239,5.602567,3.385574,2.234442,13.161271,2.110090,2.445761,0.397586,False
2023-03-11,9.803924,6.037779,5.956028,3.542864,2.715210,8.905310,3.766146,3.847896,0.433873,False
2023-03-12,9.495005,6.327436,5.876195,3.976717,4.157784,14.131596,3.167569,3.618810,0.511130,False
2023-03-13,10.613199,6.975506,6.289055,5.131066,7.049939,25.573169,3.637693,4.324144,0.578765,False
2023-03-14,11.033347,7.597782,7.145536,8.333861,6.002152,37.459845,3.435565,3.887811,0.418676,False
2023-03-15,11.274582,7.643324,8.208844,9.126791,4.905469,20.440469,3.631258,3.065739,0.349585,False
2023-03-16,10.684938,7.446356,7.850030,8.519615,4.494579,10.459283,3.238583,2.834908,0.345360,False
